date	range_ID	range	TAT
2014-10-31T04:15	2302	1096.804	440.0
2014-10-31T04:15	2303	1603.762	320.0
2014-10-31T04:15	2304	1093.668	640.0
2014-10-31T04:15	2305	757.645	280.0
2014-10-31T04:15	2307	1245.292	80.0
2014-10-31T06:15	2302	1096.788	440.0
2014-10-31T06:15	2303	1603.758	320.0
2014-10-31T06:15	2304	1093.676	640.0
2014-10-31T06:15	2305	757.646	280.0
2014-10-31T06:15	2307	1245.294	80.0
2014-10-31T08:15	2302	1096.795	440.0
2014-10-31T08:15	2303	1603.764	320.0
2014-10-31T08:15	2304	1093.675	640.0
2014-10-31T08:15	2305	757.644	280.0
2014-10-31T08:15	2307	1245.29	80.0
2014-10-31T10:15	2302	1096.803	440.0
2014-10-31T10:15	2303	1603.763	320.0
2014-10-31T10:15	2304	1093.669	640.0
2014-10-31T10:15	2305	757.643	280.0
2014-10-31T10:15	2307	1245.29	80.0
2014-10-31T12:15	2302	1096.8	440.0
2014-10-31T12:15	2303	1603.762	320.0
2014-10-31T12:15	2304	1093.672	640.0
2014-10-31T12:15	2305	757.642	280.0
2014-10-31T12:15	2307	1245.291	80.0
2014-10-31T14:15	2302	1096.799	440.0
2014-10-31T14:15	2303	1603.766	320.0
2014-10-31T14:15	2304	1093.668	640.0
2014-10-31T14:15	2305	757.639	280.0
2014-10-31T14:15	2307	1245.295	80.0
2014-11-10T18:15	2307	1245.292	80.0
2014-11-10T20:15	2302	1096.786	440.0
2014-11-10T20:15	2303	1603.758	320.0
2014-11-10T20:15	2304	1093.676	640.0
2014-11-10T20:15	2305	757.641	280.0
2014-11-10T20:15	2307	1245.286	80.0
2014-11-10T22:15	2302	1096.795	440.0
2014-11-10T22:15	2303	1603.76	320.0
2014-11-10T22:15	2304	1093.666	640.0
2014-11-10T22:15	2305	757.639	280.0
2014-11-10T22:15	2307	1245.293	80.0
2014-11-11T00:15	2302	1096.8	440.0
2014-11-11T00:15	2303	1603.752	320.0
2014-11-11T00:15	2304	1093.666	640.0
2014-11-11T00:15	2305	757.642	280.0
2014-11-11T00:15	2307	1245.292	80.0
2014-11-11T02:15	2302	1096.784	440.0
2014-11-11T02:15	2303	1603.754	320.0
2014-11-11T02:15	2304	1093.673	640.0
2014-11-11T02:15	2305	757.643	280.0
2014-11-11T02:15	2307	1245.289	80.0
2014-11-11T04:15	2302	1096.789	440.0
2014-11-11T04:15	2303	0.0	320.0
2014-11-11T04:15	2304	1093.674	640.0
2014-11-11T04:15	2305	757.64	280.0
2014-11-11T04:15	2307	1245.29	80.0
2014-11-11T06:15	2302	1096.795	440.0
2014-11-11T06:15	2303	1603.751	320.0
2014-11-11T06:15	2304	1093.663	640.0
2014-11-11T06:15	2305	757.643	280.0
2014-11-11T06:15	2307	1245.288	80.0
2014-11-11T08:15	2302	1096.795	440.0
2014-11-11T08:15	2303	1603.769	320.0
2014-11-11T08:15	2304	1093.671	640.0
2014-11-11T08:15	2305	757.642	280.0
2014-11-11T08:15	2307	1245.287	80.0
2014-11-11T10:15	2302	1096.793	440.0
2014-11-11T10:15	2303	1603.757	320.0
2014-11-11T10:15	2304	1093.672	640.0
2014-11-11T10:15	2305	757.64	280.0
2014-11-11T10:15	2307	1245.292	80.0
2014-11-11T12:15	2302	1096.801	440.0
2014-11-11T12:15	2303	1603.766	320.0
2014-11-11T12:15	2304	1093.662	640.0
2014-11-11T12:15	2305	757.644	280.0
2014-11-11T12:15	2307	1245.289	80.0
2014-11-11T14:15	2302	1096.801	440.0
2014-11-11T14:15	2303	1603.76	320.0
2014-11-11T14:15	2304	1093.664	640.0
2014-11-11T14:15	2305	757.644	280.0
2014-11-11T14:15	2307	1245.294	80.0
2014-11-11T16:15	2302	1096.802	440.0
2014-11-11T16:15	2303	1603.76	320.0
2014-11-11T16:15	2304	1093.667	640.0
2014-11-11T16:15	2305	757.639	280.0
2014-11-11T16:15	2307	1245.291	80.0
2014-11-11T18:15	2302	1096.797	440.0
2014-11-11T18:15	2303	1603.772	320.0
2014-11-11T18:15	2304	1093.67	640.0
2014-11-11T18:15	2305	757.642	280.0
2014-11-11T18:15	2307	1245.291	80.0
2014-11-11T20:15	2302	1096.793	440.0
2014-11-11T20:15	2303	1603.767	320.0
2014-11-11T20:15	2304	0.0	640.0
2014-11-11T20:15	2305	757.644	280.0
2014-11-11T20:15	2307	1245.295	80.0
2014-11-11T22:15	2302	1096.803	440.0
2014-11-11T22:15	2303	1603.767	320.0
2014-11-11T22:15	2304	1093.666	640.0
2014-11-11T22:15	2305	757.644	280.0
2014-11-11T22:15	2307	1245.29	80.0
2014-11-12T00:15	2302	1096.791	440.0
2014-11-12T00:15	2303	1603.765	320.0
2014-11-12T00:15	2304	1093.675	640.0
2014-11-12T00:15	2305	757.644	280.0
2014-11-12T00:15	2307	1245.29	80.0
2014-11-12T02:15	2302	1096.802	440.0
2014-11-12T02:15	2303	1603.769	320.0
2014-11-12T02:15	2304	1093.662	640.0
2014-11-12T02:15	2305	757.642	280.0
2014-11-12T02:15	2307	1245.288	80.0
2014-11-12T04:15	2302	1096.804	440.0
2014-11-12T04:15	2303	1603.762	320.0
2014-11-12T04:15	2304	1093.661	640.0
2014-11-12T04:15	2305	757.647	280.0
2014-11-12T04:15	2307	1245.29	80.0
2014-11-12T06:15	2302	1096.789	440.0
2014-11-12T06:15	2303	1603.763	320.0
2014-11-12T06:15	2304	1093.672	640.0
2014-11-12T06:15	2305	757.644	280.0
2014-11-12T06:15	2307	1245.292	80.0
2014-11-12T08:15	2302	1096.793	440.0
2014-11-12T08:15	2303	1603.763	320.0
2014-11-12T08:15	2304	1093.672	640.0
2014-11-12T08:15	2305	757.643	280.0
2014-11-12T08:15	2307	1245.291	80.0
2014-11-12T10:15	2302	1096.797	440.0
2014-11-12T10:15	2303	1603.762	320.0
2014-11-12T10:15	2304	1093.665	640.0
2014-11-12T10:15	2305	757.641	280.0
2014-11-12T10:15	2307	1245.289	80.0
2014-11-12T12:15	2302	1096.796	440.0
2014-11-12T12:15	2303	0.0	320.0
2014-11-12T12:15	2304	1093.67	640.0
2014-11-12T12:15	2305	757.643	280.0
2014-11-12T12:15	2307	1245.293	80.0
2014-11-12T14:15	2302	1096.798	440.0
2014-11-12T14:15	2303	1603.77	320.0
2014-11-12T14:15	2304	0.0	640.0
2014-11-12T14:15	2305	757.645	280.0
2014-11-12T14:15	2307	1245.293	80.0
2014-11-12T16:15	2302	1096.791	440.0
2014-11-12T16:15	2303	1603.775	320.0
2014-11-12T16:15	2304	1093.676	640.0
2014-11-12T16:15	2305	757.646	280.0
2014-11-12T16:15	2307	1245.294	80.0
2014-11-12T18:15	2302	1096.798	440.0
2014-11-12T18:15	2303	1603.781	320.0
2014-11-12T18:15	2304	0.0	640.0
2014-11-12T18:15	2305	757.643	280.0
2014-11-12T18:15	2307	1245.293	80.0
2014-11-12T20:15	2302	1096.791	440.0
2014-11-12T20:15	2303	1603.772	320.0
2014-11-12T20:15	2304	1093.672	640.0
2014-11-12T20:15	2305	757.643	280.0
2014-11-12T20:15	2307	1245.29	80.0
2014-11-12T22:15	2302	1096.806	440.0
2014-11-12T22:15	2303	1603.778	320.0
2014-11-12T22:15	2304	1093.664	640.0
2014-11-12T22:15	2305	757.646	280.0
2014-11-12T22:15	2307	1245.295	80.0
2014-11-13T00:15	2302	1096.793	440.0
2014-11-13T00:15	2303	1603.773	320.0
2014-11-13T00:15	2304	1093.674	640.0
2014-11-13T00:15	2305	757.647	280.0
2014-11-13T00:15	2307	1245.293	80.0
2014-11-13T02:15	2302	1096.791	440.0
2014-11-13T02:15	2303	1603.779	320.0
2014-11-13T02:15	2304	1093.672	640.0
2014-11-13T02:15	2305	757.642	280.0
2014-11-13T02:15	2307	1245.295	80.0
2014-11-13T04:15	2302	1096.794	440.0
2014-11-13T04:15	2303	1603.771	320.0
2014-11-13T04:15	2304	1093.674	640.0
2014-11-13T04:15	2305	757.642	280.0
2014-11-13T04:15	2307	1245.295	80.0
2014-11-13T06:15	2302	1096.789	440.0
2014-11-13T06:15	2303	1603.767	320.0
2014-11-13T06:15	2304	1093.67	640.0
2014-11-13T06:15	2305	757.642	280.0
2014-11-13T06:15	2307	1245.292	80.0
2014-11-13T08:15	2302	1096.796	440.0
2014-11-13T08:15	2303	1603.763	320.0
2014-11-13T08:15	2304	1093.665	640.0
2014-11-13T08:15	2305	757.64	280.0
2014-11-13T08:15	2307	1245.292	80.0
2014-11-13T10:15	2302	1096.801	440.0
2014-11-13T10:15	2303	1603.771	320.0
2014-11-13T10:15	2304	1093.664	640.0
2014-11-13T10:15	2305	757.647	280.0
2014-11-13T10:15	2307	1245.295	80.0
2014-11-13T12:15	2302	1096.792	440.0
2014-11-13T12:15	2303	1603.795	320.0
2014-11-13T12:15	2304	1093.677	640.0
2014-11-13T12:15	2305	757.648	280.0
2014-11-13T12:15	2307	1245.294	80.0
2014-11-13T14:15	2302	1096.794	440.0
2014-11-13T14:15	2303	1603.772	320.0
2014-11-13T14:15	2304	1093.675	640.0
2014-11-13T14:15	2305	757.648	280.0
2014-11-13T14:15	2307	1245.296	80.0
2014-11-13T16:15	2302	1096.796	440.0
2014-11-13T16:15	2303	1603.771	320.0
2014-11-13T16:15	2304	1093.667	640.0
2014-11-13T16:15	2305	757.642	280.0
2014-11-13T16:15	2307	1245.292	80.0
2014-11-13T18:15	2302	1096.795	440.0
2014-11-13T18:15	2303	1603.771	320.0
2014-11-13T18:15	2304	1093.672	640.0
2014-11-13T18:15	2305	757.647	280.0
2014-11-13T18:15	2307	1245.296	80.0
2014-11-13T20:15	2302	1096.796	440.0
2014-11-13T20:15	2303	1603.769	320.0
2014-11-13T20:15	2304	0.0	640.0
2014-11-13T20:15	2305	757.641	280.0
2014-11-13T20:15	2307	1245.295	80.0
2014-11-13T22:15	2302	1096.79	440.0
2014-11-13T22:15	2303	1603.765	320.0
2014-11-13T22:15	2304	1093.677	640.0
2014-11-13T22:15	2305	757.642	280.0
2014-11-13T22:15	2307	1245.293	80.0
2014-11-14T00:15	2302	1096.803	440.0
2014-11-14T00:15	2303	1603.767	320.0
2014-11-14T00:15	2304	1093.662	640.0
2014-11-14T00:15	2305	757.64	280.0
2014-11-14T00:15	2307	1245.297	80.0
2014-11-14T02:15	2302	1096.792	440.0
2014-11-14T02:15	2303	1603.761	320.0
2014-11-14T02:15	2304	1093.671	640.0
2014-11-14T02:15	2305	757.639	280.0
2014-11-14T02:15	2307	1245.293	80.0
2014-11-14T04:15	2302	1096.797	440.0
2014-11-14T04:15	2303	1603.767	320.0
2014-11-14T04:15	2304	1093.665	640.0
2014-11-14T04:15	2305	757.64	280.0
2014-11-14T04:15	2307	1245.292	80.0
2014-11-14T06:15	2302	1096.79	440.0
2014-11-14T06:15	2303	1603.765	320.0
2014-11-14T06:15	2304	1093.671	640.0
2014-11-14T06:15	2305	757.639	280.0
2014-11-14T06:15	2307	1245.293	80.0
2014-11-14T08:15	2302	1096.791	440.0
2014-11-14T08:15	2303	1603.762	320.0
