date	bat	vlt
2014-11-02T11:55	0	13.7
2014-11-04T23:55	0	13.7
2014-11-07T11:55	1	13.7
2014-11-09T23:55	1	13.6
2014-11-12T11:55	1	13.6
2014-11-14T23:55	1	13.6
2014-11-17T11:55	1	13.7
2014-11-19T23:55	2	13.6
2014-11-22T11:55	2	13.6
2014-11-24T23:55	2	13.6
2014-11-27T11:55	2	13.6
2014-11-29T23:55	2	13.6
2014-12-02T11:55	3	13.6
2014-12-04T23:55	3	13.6
2014-12-07T11:55	3	13.6
2014-12-09T23:55	3	13.6
2014-12-12T11:55	3	13.6
2014-12-14T23:55	3	13.6
2014-12-17T11:55	4	13.6
2014-12-19T23:55	4	13.6
2014-12-22T11:55	4	13.6
2014-12-24T23:55	4	13.6
2014-12-27T11:55	4	13.6
2014-12-29T23:55	5	13.6
2015-01-01T11:55	5	13.6
2015-01-03T23:55	5	13.6
2015-01-06T11:55	5	13.6
2015-01-08T23:55	5	13.6
2015-01-11T11:55	6	13.6
2015-01-13T23:55	6	13.6
2015-01-16T11:55	6	13.6
2015-01-18T23:55	6	13.6
2015-01-21T11:55	6	13.6
2015-01-23T23:55	7	13.6
2015-01-26T11:55	7	13.6
2015-01-28T23:55	7	13.6
2015-01-31T11:55	7	13.6
2015-02-02T23:55	7	13.4
2015-02-05T11:55	8	13.6
2015-02-07T23:55	8	13.4
2015-02-10T11:55	8	13.7
2015-02-12T23:55	8	13.7
2015-02-15T11:55	9	13.6
2015-02-17T23:55	9	13.6
2015-02-20T11:55	9	13.7
2015-02-22T23:55	9	13.7
2015-02-25T11:55	9	13.7
2015-02-27T23:55	10	13.7
2015-03-02T11:55	10	13.6
2015-03-04T23:55	10	13.7
2015-03-07T11:55	10	13.7
2015-03-09T23:55	10	13.7
2015-03-12T11:55	11	13.7
2015-03-14T23:55	11	13.7
2015-03-17T11:55	11	13.7
2015-03-19T23:55	11	13.7
2015-03-22T11:55	11	13.7
2015-03-24T23:55	11	13.7
2015-03-27T11:55	12	13.7
2015-03-29T23:55	12	13.4
2015-04-01T11:55	12	13.7
2015-04-03T23:55	12	13.7
2015-04-06T11:55	12	13.7
2015-04-08T23:55	13	13.7
2015-04-11T11:55	13	13.7
2015-04-13T23:55	13	13.7
2015-04-16T11:55	13	13.7
2015-04-18T23:55	13	13.4
2015-04-21T11:55	14	13.7
2015-04-23T23:55	14	13.5
2015-04-26T11:55	14	13.7
2015-04-28T23:55	14	13.7
2015-05-01T11:55	14	13.7
2015-05-03T23:55	15	13.7
2015-05-06T11:55	15	13.7
2015-05-08T23:55	15	13.7
2015-05-11T11:55	15	13.7
2015-05-13T23:55	15	13.7
2015-05-16T11:55	15	13.7
