date	bat	vlt
2014-11-02T07:35	0	13.7
2014-11-04T19:35	0	13.6
2014-11-07T07:35	1	13.6
2014-11-09T19:35	1	13.6
2014-11-12T07:35	1	13.6
2014-11-14T19:35	1	13.6
2014-11-17T07:35	1	13.4
2014-11-19T19:35	2	13.6
2014-11-22T07:35	2	13.6
2014-11-24T19:35	2	13.6
2014-11-27T07:35	2	13.6
2014-11-29T19:35	2	13.6
2014-12-02T07:35	2	13.6
2014-12-04T19:35	3	13.6
2014-12-07T07:35	3	13.6
2014-12-09T19:35	3	13.6
2014-12-12T07:35	3	13.6
2014-12-14T19:35	3	13.6
2014-12-17T07:35	4	13.6
2014-12-19T19:35	4	13.6
2014-12-22T07:35	4	13.6
2014-12-24T19:35	4	13.6
2014-12-27T07:35	4	13.6
2014-12-29T19:35	4	13.6
2015-01-01T07:35	5	13.6
2015-01-03T19:35	5	13.6
2015-01-06T07:35	5	13.6
2015-01-08T19:35	5	13.6
2015-01-11T07:35	5	13.6
2015-01-13T19:35	6	13.6
2015-01-16T07:35	6	13.6
2015-01-18T19:35	6	13.6
2015-01-21T07:35	6	13.6
2015-01-23T19:35	6	13.6
2015-01-26T07:35	6	13.3
2015-01-28T19:35	7	13.6
2015-01-31T07:35	7	13.6
2015-02-02T19:35	7	13.6
2015-02-05T07:35	7	13.6
2015-02-07T19:35	7	13.4
2015-02-10T07:35	8	13.6
2015-02-12T19:35	8	13.6
2015-02-15T07:35	8	13.6
2015-02-17T19:35	8	13.6
2015-02-20T07:35	8	13.6
2015-02-22T19:35	8	13.6
2015-02-25T07:35	9	13.6
2015-02-27T19:35	9	13.6
2015-03-02T07:35	9	13.6
2015-03-04T19:35	10	13.6
2015-03-07T07:35	10	13.6
2015-03-09T19:35	10	13.6
2015-03-12T07:35	10	13.6
2015-03-14T19:35	10	13.6
2015-03-17T07:35	10	13.6
2015-03-19T19:35	11	13.6
2015-03-22T07:35	11	13.6
2015-03-24T19:35	11	13.6
2015-03-27T07:35	11	13.6
2015-03-29T19:35	11	13.6
2015-04-01T07:35	12	13.6
2015-04-03T19:35	12	13.6
2015-04-06T07:35	12	13.6
2015-04-08T19:35	12	13.6
2015-04-11T07:35	12	13.6
2015-04-13T19:35	12	13.6
2015-04-16T07:35	13	13.6
2015-04-18T19:35	13	13.6
2015-04-21T07:35	13	13.6
2015-04-23T19:35	13	13.6
2015-04-26T07:35	13	13.6
2015-04-28T19:35	14	13.6
