date	range_ID	range	TAT
2014-10-31T01:35	2301	1077.626	600.0
2014-10-31T01:35	2302	1116.637	440.0
2014-10-31T01:35	2303	1443.22	320.0
2014-10-31T01:35	2304	1276.08	640.0
2014-10-31T01:35	2307	1213.519	80.0
2014-10-31T03:35	2301	1077.628	600.0
2014-10-31T03:35	2302	1116.636	440.0
2014-10-31T03:35	2303	1443.221	320.0
2014-10-31T03:35	2304	1276.079	640.0
2014-10-31T03:35	2307	1213.524	80.0
2014-10-31T05:35	2301	1077.625	600.0
2014-10-31T05:35	2302	1116.634	440.0
2014-10-31T05:35	2303	1443.22	320.0
2014-10-31T05:35	2304	1276.08	640.0
2014-10-31T05:35	2307	1213.524	80.0
2014-10-31T07:35	2301	1077.626	600.0
2014-10-31T07:35	2302	1116.637	440.0
2014-10-31T07:35	2303	1443.219	320.0
2014-10-31T07:35	2304	1276.081	640.0
2014-10-31T07:35	2307	1213.52	80.0
2014-10-31T09:35	2301	1077.624	600.0
2014-10-31T09:35	2302	1116.635	440.0
2014-10-31T09:35	2303	1443.216	320.0
2014-10-31T09:35	2304	1276.082	640.0
2014-10-31T09:35	2307	1213.518	80.0
2014-10-31T11:35	2301	1077.623	600.0
2014-10-31T11:35	2302	0.0	440.0
2014-10-31T11:35	2303	0.0	320.0
2014-10-31T11:35	2304	1276.079	640.0
2014-10-31T11:35	2307	0.0	80.0
2014-10-31T13:35	2301	1077.622	600.0
2014-10-31T13:35	2302	1116.632	440.0
2014-10-31T13:35	2303	1443.215	320.0
2014-10-31T13:35	2304	1276.075	640.0
2014-10-31T13:35	2307	1213.518	80.0
2014-10-31T15:35	2301	1077.625	600.0
2014-10-31T15:35	2302	1116.632	440.0
2014-10-31T15:35	2303	1443.216	320.0
2014-10-31T15:35	2304	1276.079	640.0
2014-10-31T15:35	2307	1213.519	80.0
2014-10-31T17:35	2301	1077.625	600.0
2014-10-31T17:35	2302	1116.637	440.0
2014-10-31T17:35	2303	1443.212	320.0
2014-10-31T17:35	2304	1276.074	640.0
2014-10-31T17:35	2307	1213.516	80.0
2014-10-31T19:35	2301	1077.626	600.0
2014-10-31T19:35	2302	1116.632	440.0
2014-10-31T19:35	2303	1443.215	320.0
2014-10-31T19:35	2304	1276.076	640.0
2014-10-31T19:35	2307	1213.524	80.0
2014-10-31T21:35	2301	1077.627	600.0
2014-10-31T21:35	2302	1116.632	440.0
2014-10-31T21:35	2303	1443.214	320.0
2014-10-31T21:35	2304	1276.078	640.0
2014-10-31T21:35	2307	1213.518	80.0
2014-10-31T23:35	2301	1077.624	600.0
2014-10-31T23:35	2302	1116.633	440.0
2014-10-31T23:35	2303	1443.214	320.0
2014-10-31T23:35	2304	1276.075	640.0
2014-10-31T23:35	2307	1213.519	80.0
2014-11-01T01:35	2301	1077.627	600.0
2014-11-01T01:35	2302	1116.635	440.0
2014-11-01T01:35	2303	1443.218	320.0
2014-11-01T01:35	2304	1276.075	640.0
2014-11-01T01:35	2307	1213.518	80.0
2014-11-01T03:35	2301	1077.622	600.0
2014-11-01T03:35	2302	1116.635	440.0
2014-11-01T03:35	2303	1443.212	320.0
2014-11-01T03:35	2304	1276.074	640.0
2014-11-01T03:35	2307	1213.514	80.0
2014-11-01T05:35	2301	1077.624	600.0
2014-11-01T05:35	2302	1116.631	440.0
2014-11-01T05:35	2303	1443.21	320.0
2014-11-01T05:35	2304	1276.075	640.0
2014-11-01T05:35	2307	1213.515	80.0
2014-11-01T07:35	2301	1077.625	600.0
2014-11-01T07:35	2302	1116.634	440.0
2014-11-01T07:35	2303	1443.215	320.0
2014-11-01T07:35	2304	1276.077	640.0
2014-11-01T07:35	2307	1213.517	80.0
2014-11-01T09:35	2301	1077.624	600.0
2014-11-01T09:35	2302	1116.634	440.0
2014-11-01T09:35	2303	1443.216	320.0
2014-11-01T09:35	2304	1276.08	640.0
2014-11-01T09:35	2307	1213.515	80.0
2014-11-01T11:35	2301	1077.622	600.0
2014-11-01T11:35	2302	1116.636	440.0
2014-11-01T11:35	2303	1443.211	320.0
2014-11-01T11:35	2304	1276.077	640.0
2014-11-01T11:35	2307	1213.521	80.0
2014-11-01T13:35	2301	1077.627	600.0
2014-11-01T13:35	2302	1116.636	440.0
2014-11-01T13:35	2303	1443.212	320.0
2014-11-01T13:35	2304	1276.077	640.0
2014-11-01T13:35	2307	1213.517	80.0
2014-11-01T15:35	2301	1077.624	600.0
2014-11-01T15:35	2302	1116.633	440.0
2014-11-01T15:35	2303	1443.209	320.0
2014-11-01T15:35	2304	1276.08	640.0
2014-11-01T15:35	2307	1213.518	80.0
2014-11-01T17:35	2301	1077.627	600.0
2014-11-01T17:35	2302	1116.636	440.0
2014-11-01T17:35	2303	1443.217	320.0
2014-11-01T17:35	2304	1276.076	640.0
2014-11-01T17:35	2307	1213.52	80.0
2014-11-01T19:35	2301	1077.626	600.0
2014-11-01T19:35	2302	1116.632	440.0
2014-11-01T19:35	2303	1443.216	320.0
2014-11-01T19:35	2304	1276.077	640.0
2014-11-01T19:35	2307	1213.52	80.0
2014-11-01T21:35	2301	1077.627	600.0
2014-11-01T21:35	2302	1116.636	440.0
2014-11-01T21:35	2303	1443.212	320.0
2014-11-01T21:35	2304	1276.081	640.0
2014-11-01T21:35	2307	1213.523	80.0
2014-11-01T23:35	2301	1077.622	600.0
2014-11-01T23:35	2302	1116.632	440.0
2014-11-01T23:35	2303	1443.214	320.0
2014-11-01T23:35	2304	1276.078	640.0
2014-11-01T23:35	2307	1213.521	80.0
2014-11-02T01:35	2301	1077.621	600.0
2014-11-02T01:35	2302	1116.634	440.0
2014-11-02T01:35	2303	1443.215	320.0
2014-11-02T01:35	2304	1276.076	640.0
2014-11-02T01:35	2307	1213.513	80.0
2014-11-02T03:35	2301	1077.626	600.0
2014-11-02T03:35	2302	1116.634	440.0
2014-11-02T03:35	2303	1443.21	320.0
2014-11-02T03:35	2304	1276.074	640.0
2014-11-02T03:35	2307	1213.519	80.0
2014-11-02T05:35	2301	1077.625	600.0
2014-11-02T05:35	2302	1116.635	440.0
